user,SongNr_6,SongNr_29,SongNr_35,SongNr_36,SongNr_1,SongNr_3,SongNr_31,SongNr_32,SongNr_37,SongNr_38,SongNr_2,SongNr_30,SongNr_34,SongNr_41,SongNr_10,SongNr_33,SongNr_5,SongNr_7,SongNr_8,SongNr_4
1,6,4,6,4,6,6,6,5,6,6,6,4,2,7,6,6,6,4,4,3
2,7,5,5,5,6,2,6,7,6,2,5,7,2,7,6,3,5,6,2,5
3,7,7,7,7,7,7,7,7,7,6,7,6,7,7,7,6,7,7,7,7
4,2,6,4,4,2,2,2,2,6,2,6,7,6,7,6,2,6,6,6,2
6,6,6,6,6,2,6,6,6,6,3,6,6,6,6,6,6,6,6,3,6
7,7,7,6,7,6,6,7,6,6,7,6,7,6,2,7,2,6,6,6,6
8,7,7,7,6,7,6,6,2,7,6,6,6,6,6,6,6,7,6,3,7
9,6,4,4,7,6,6,4,7,4,7,4,7,3,3,7,6,3,7,4,6
10,6,6,6,7,6,3,5,7,7,2,6,3,7,3,7,6,6,6,6,6
12,7,6,6,7,7,7,5,7,6,6,7,6,7,3,5,3,7,6,4,5
13,6,4,7,4,4,4,7,6,7,2,7,7,3,7,6,4,7,6,2,4
14,7,3,6,6,6,6,6,3,6,3,6,2,6,3,6,6,6,3,3,3
15,6,6,6,6,6,6,7,6,4,3,6,6,6,2,2,3,6,3,6,3
16,6,5,5,5,7,5,5,7,6,2,5,6,6,6,5,6,6,6,6,6
18,7,6,5,5,5,6,3,7,3,5,3,5,5,5,6,5,3,6,5,6
19,6,6,7,7,6,6,6,6,7,6,6,6,6,7,6,3,6,6,7,6
21,7,6,4,4,6,7,5,7,2,5,6,7,3,6,6,2,3,6,6,4
22,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
23,6,6,6,6,6,6,6,6,6,6,6,6,6,5,6,6,6,7,6,6
24,6,3,2,2,6,7,6,3,6,6,2,7,6,2,2,2,6,6,2,6
25,7,6,6,6,4,6,4,6,6,6,6,6,6,6,4,2,6,7,4,6
26,5,5,5,6,5,5,5,6,4,6,3,7,5,7,5,5,6,6,5,3
27,7,7,6,6,6,6,6,6,7,6,7,7,6,7,6,6,7,7,7,6
28,5,6,6,3,5,5,5,3,7,5,5,5,7,2,7,5,5,5,7,5
30,5,6,3,2,2,2,5,2,6,3,3,5,2,6,7,5,2,5,7,3
31,6,4,4,4,3,4,6,4,2,4,4,7,2,7,4,4,4,6,4,4
33,7,4,7,4,7,7,7,7,6,4,4,6,7,7,7,6,7,7,7,7
34,7,3,7,2,6,2,6,3,6,6,6,7,6,7,7,2,6,6,3,6
35,7,6,6,7,6,6,6,6,6,6,3,7,3,7,7,6,3,6,7,6
38,7,6,7,7,6,6,7,7,7,6,7,7,7,7,6,7,7,7,7,6
40,7,6,7,6,6,6,6,7,5,7,7,6,6,7,7,7,7,7,7,6
41,7,7,4,6,6,6,6,6,6,6,6,6,6,7,6,6,6,6,7,6
42,6,5,3,5,5,5,5,5,3,6,7,6,6,7,7,3,6,3,7,4
44,3,6,6,6,6,6,6,6,6,6,6,4,4,4,6,6,6,6,4,6
45,2,7,7,7,6,4,7,7,3,7,2,7,7,7,7,7,7,7,7,2
46,4,2,6,5,6,6,3,7,2,7,7,3,7,3,5,3,6,3,5,6
47,4,6,7,6,2,5,7,5,2,4,6,7,6,2,7,2,6,2,4,6
50,3,6,7,7,7,6,7,7,7,7,7,6,5,6,3,6,6,3,7,7
52,6,7,6,7,3,2,6,6,2,3,7,7,7,7,7,6,6,6,7,6
53,2,2,7,7,7,6,2,7,6,6,7,5,2,5,7,6,5,6,2,7
55,7,6,7,6,5,6,7,7,6,4,2,7,6,7,7,4,6,7,6,4
56,2,6,6,5,3,2,3,5,2,5,4,4,7,7,7,6,7,6,7,6
59,6,7,5,4,5,5,6,4,4,5,4,5,4,5,7,6,4,4,6,7
60,6,6,6,6,6,6,6,6,6,6,6,6,6,5,6,6,6,5,6,6
80,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
81,7,3,3,3,6,6,3,7,7,6,6,7,2,6,7,6,7,6,6,3
82,6,6,6,2,6,2,2,2,2,6,6,2,6,6,5,6,2,2,6,2
83,3,7,7,3,7,6,7,5,7,2,7,7,6,7,7,7,7,7,6,7
84,5,6,7,6,7,6,7,6,7,6,7,6,7,6,5,6,6,6,6,6
85,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7
86,6,2,6,6,6,2,6,6,2,2,6,6,6,6,2,6,6,6,2,6
87,7,7,7,7,6,6,7,5,7,6,7,7,7,5,7,6,7,6,7,5
88,3,3,7,7,5,6,7,6,6,3,6,6,3,5,5,3,6,6,6,6
89,2,6,2,2,2,6,6,2,6,2,2,7,6,2,6,2,2,6,6,6
90,6,6,6,7,3,7,3,3,6,3,6,6,7,3,6,3,6,7,6,6
91,6,6,6,7,6,6,6,7,6,6,6,7,6,7,7,6,7,6,7,6
100,6,7,6,7,6,6,7,7,2,7,7,6,7,7,7,6,2,6,7,6
102,7,7,7,6,7,7,7,3,6,7,7,7,3,7,7,3,7,7,7,7
103,6,5,5,2,6,6,2,5,7,5,5,2,6,7,6,7,5,6,2,6
104,7,7,7,7,7,7,7,7,2,7,7,7,7,7,7,7,7,6,7,7
105,7,7,7,2,5,6,7,5,7,7,7,5,7,7,7,7,7,7,7,6
106,6,6,6,2,6,6,6,6,6,6,6,6,2,6,5,2,6,7,2,6
107,7,5,7,7,7,5,7,5,5,5,5,7,6,7,7,6,5,7,7,7
108,6,6,6,5,2,6,6,6,2,6,2,6,6,6,6,6,2,6,6,5
109,6,6,7,6,6,6,7,7,7,6,7,7,7,6,6,6,7,7,7,7
110,6,7,5,5,5,7,7,6,7,7,7,7,5,7,7,7,7,2,5,7
111,6,7,7,7,6,6,6,6,6,6,6,6,6,7,7,6,7,7,6,6
120,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
121,6,5,7,7,7,7,7,5,7,7,7,7,7,7,7,6,5,7,6,6
122,6,7,7,7,2,6,6,2,6,6,7,7,5,6,5,7,6,6,7,6
123,7,6,6,7,3,7,7,5,6,7,3,7,7,7,7,3,6,7,7,6
124,7,5,7,6,6,3,7,2,7,7,7,7,7,7,6,7,7,7,7,7
125,3,5,7,5,5,6,5,6,5,5,3,5,5,3,7,7,3,5,7,7
126,6,6,7,7,7,7,7,6,7,7,7,7,6,7,7,6,7,7,7,7
127,7,7,7,7,5,2,7,7,7,7,2,7,2,7,7,2,2,7,7,7
128,7,6,7,6,6,6,6,6,3,6,7,7,6,7,6,6,6,6,6,6
129,2,5,5,5,6,7,5,5,6,5,6,5,5,6,6,5,6,6,7,5
130,7,5,7,2,6,6,7,7,2,6,5,7,2,7,7,5,5,6,7,6
140,7,3,6,5,7,6,6,6,6,6,2,6,5,3,6,7,2,5,6,6
141,7,7,7,7,6,6,7,7,6,7,7,7,5,7,3,6,7,7,7,6
143,7,5,3,6,5,6,5,3,5,5,5,7,6,5,6,5,5,5,7,5
145,7,5,6,6,7,7,7,7,6,6,6,6,6,7,7,7,7,7,6,6
146,6,5,7,5,6,6,6,6,7,6,7,6,7,7,7,5,7,6,6,6
147,7,5,5,5,5,5,7,7,7,6,7,7,7,7,7,5,7,3,6,5
148,7,7,7,5,6,7,7,7,7,5,7,7,7,5,7,7,7,7,7,7
149,2,6,2,6,6,7,3,5,6,6,7,6,5,2,5,6,7,6,3,2
150,7,7,6,6,7,6,7,6,7,6,7,7,7,6,6,7,7,6,6,7
151,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7
160,6,6,6,6,6,6,6,5,3,6,5,6,5,6,5,6,3,6,6,6
161,6,6,6,5,6,5,6,5,5,6,6,6,6,6,6,6,6,6,6,6
162,6,7,7,7,6,6,6,7,6,7,7,5,6,2,7,6,7,6,6,7
163,5,6,6,5,5,7,6,5,5,6,6,6,5,7,6,6,5,7,7,5
164,5,3,7,5,3,3,2,2,6,7,6,3,7,2,2,6,5,6,6,2
165,5,6,5,7,6,6,7,6,6,3,5,7,7,7,5,6,3,5,5,5
166,7,7,5,7,6,5,5,6,6,6,7,5,7,3,7,7,6,3,7,7
167,5,5,5,6,5,6,5,5,5,6,6,5,5,5,5,6,2,5,5,5
168,7,6,6,5,7,6,7,7,7,6,7,7,6,7,7,7,7,7,7,6
169,6,6,7,7,7,6,6,6,6,6,6,7,6,6,6,6,6,6,6,6
170,6,6,5,7,5,3,6,6,6,6,3,6,5,6,7,6,6,5,6,5
171,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,6,6,6,6,6
172,7,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
